Aluminum.Band,BirdSex,Age,Recapture,Mass,Tail,Wing.LEFT,Wing.RIGHT,Tarsus1,Tarsus2,Bill.Depth,Bill.Width,Bill.Length_culmen,Bill.Length_nares,Date.Banded_date,Year,OrdinalDay
1970-45173,F,U,No,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996-07-12,1996,194
1970-45181,F,U,No,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996-07-23,1996,205
1970-45182,F,U,No,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996-07-28,1996,210
1970-45214,U,U,No,7,NA,NA,NA,15.3,15.3,NA,NA,NA,NA,1996-05-01,1996,122
1970-45215,U,U,No,7.3,NA,NA,NA,15.6,15.6,NA,NA,NA,NA,1996-05-01,1996,122
1970-45216,U,U,No,9.1,NA,NA,NA,NA,16.9,NA,NA,NA,NA,1996-05-01,1996,122
1970-45217,U,U,No,8.6,NA,NA,NA,NA,16.7,NA,NA,NA,NA,1996-05-01,1996,122
1970-45218,U,U,No,8.1,NA,NA,NA,NA,16.5,NA,NA,NA,NA,1996-05-01,1996,122
1970-45219,U,U,No,7.6,NA,NA,NA,NA,15.7,NA,NA,NA,NA,1996-05-01,1996,122
1970-45220,U,U,No,9.2,NA,NA,NA,18.5,18.6,NA,NA,NA,NA,1996-05-01,1996,122
1970-45221,U,U,No,9.5,NA,NA,NA,17.7,17.9,NA,NA,NA,NA,1996-05-01,1996,122
1970-45222,U,U,No,9.3,NA,NA,NA,17.7,17.9,NA,NA,NA,NA,1996-05-01,1996,122
1970-45223,U,U,No,8.7,NA,NA,NA,18.2,18.1,NA,NA,NA,NA,1996-05-01,1996,122
1970-45224,F,U,No,10.2,NA,NA,61,NA,19.8,NA,3.3,9.2,3,1996-05-01,1996,122
1970-45225,F,U,No,10.5,NA,NA,61,NA,18.4,NA,3.7,9.7,3.1,1996-05-01,1996,122
1970-45226,U,U,No,8,NA,NA,NA,17.3,17.3,NA,NA,NA,NA,1996-05-01,1996,122
1970-45227,U,U,No,7.6,NA,NA,NA,18.2,18.3,NA,NA,NA,NA,1996-05-01,1996,122
1970-45228,U,U,No,8.1,NA,NA,NA,17,16.8,NA,NA,NA,NA,1996-05-01,1996,122
1970-45229,U,U,No,8.8,NA,NA,NA,17.3,17.1,NA,NA,NA,NA,1996-05-01,1996,122
1970-45230,U,U,No,8.1,NA,NA,NA,16.5,16.4,NA,NA,NA,NA,1996-05-01,1996,122
1970-45231,U,U,No,9,NA,NA,NA,17.3,17.3,NA,NA,NA,NA,1996-05-01,1996,122
1970-45232,U,U,No,7.8,NA,NA,NA,16.6,16.5,NA,NA,NA,NA,1996-05-01,1996,122
1970-45233,U,U,No,8.2,NA,NA,NA,17.3,17.5,NA,NA,NA,NA,1996-05-01,1996,122
1970-45234,U,U,No,8.3,NA,NA,NA,16,15.9,NA,NA,NA,NA,1996-05-01,1996,122
1970-45235,U,U,No,7.6,NA,NA,NA,NA,16.5,NA,NA,NA,NA,1996-05-01,1996,122
1970-45236,U,U,No,8.8,NA,NA,NA,NA,16.5,NA,NA,NA,NA,1996-05-01,1996,122
1970-45237,U,U,No,7.6,NA,NA,NA,NA,14.7,NA,NA,NA,NA,1996-05-01,1996,122
1970-45238,U,U,No,8.5,NA,NA,NA,17.1,17,NA,NA,NA,NA,1996-05-01,1996,122
1970-45239,U,U,No,8.3,NA,NA,NA,16.5,16.6,NA,NA,NA,NA,1996-05-01,1996,122
1970-45240,U,U,No,7.5,NA,NA,NA,16,16,NA,NA,NA,NA,1996-05-01,1996,122
1970-45241,U,U,No,8,NA,NA,NA,15.4,15.6,NA,NA,NA,NA,1996-05-01,1996,122
1970-45242,U,U,No,9,NA,NA,NA,17.1,17.1,NA,NA,NA,NA,1996-05-01,1996,122
1970-45243,U,U,No,10,NA,NA,NA,17.7,17.7,NA,NA,NA,NA,1996-05-01,1996,122
1970-45244,U,U,No,8.6,NA,NA,NA,17,17,NA,NA,NA,NA,1996-05-01,1996,122
1970-45245,U,U,No,9,NA,NA,NA,17.4,17.4,NA,NA,NA,NA,1996-05-01,1996,122
1970-45246,U,U,No,9.4,NA,NA,NA,17.8,17.7,NA,NA,NA,NA,1996-05-01,1996,122
1970-45247,U,U,No,7.3,NA,NA,NA,16.6,16.6,NA,NA,NA,NA,1996-05-01,1996,122
1970-45248,U,U,No,7,NA,NA,NA,16.3,16.4,NA,NA,NA,NA,1996-05-01,1996,122
1970-45249,U,U,No,8,NA,NA,NA,16.4,16.3,NA,NA,NA,NA,1996-05-01,1996,122
1970-45250,F,U,No,10.9,NA,NA,60,NA,18.5,NA,3.4,9.9,2.9,1996-05-01,1996,122
1970-45251,U,U,No,8.5,NA,NA,NA,17.9,17.9,NA,NA,NA,NA,1996-05-01,1996,122
1970-45252,U,U,No,8,NA,NA,NA,17.4,17.6,NA,NA,NA,NA,1996-05-01,1996,122
1970-45253,U,U,No,8,NA,NA,NA,17.6,17.4,NA,NA,NA,NA,1996-05-01,1996,122
1970-45254,U,U,No,6,NA,NA,NA,15.2,15.2,NA,NA,NA,NA,1996-05-01,1996,122
1970-45255,M,U,No,10.4,NA,NA,62,NA,21.2,NA,3.1,6.6,2.8,1996-05-01,1996,122
1970-45256,U,U,No,8.5,NA,NA,NA,16.1,16.1,NA,NA,NA,NA,1996-05-01,1996,122
1970-45257,U,U,No,8.1,NA,NA,NA,16.7,16.5,NA,NA,NA,NA,1996-05-01,1996,122
1970-45258,U,U,No,8,NA,NA,NA,16.6,16.6,NA,NA,NA,NA,1996-05-01,1996,122
1970-45259,U,U,No,7.5,NA,NA,NA,17.5,17.5,NA,NA,NA,NA,1996-05-01,1996,122
1970-45260,M,U,No,9.5,NA,NA,62.5,NA,18.9,NA,4,9.2,3,1996-05-01,1996,122
1970-45261,F,U,No,9,NA,NA,60.2,NA,19.5,NA,4.1,10,3,1996-05-01,1996,122
1970-45262,M,U,No,10.2,NA,NA,62,NA,19.2,NA,4.3,10.3,3.2,1996-05-01,1996,122
1970-45263,U,U,No,5,NA,NA,NA,15.5,15.6,NA,NA,NA,NA,1996-05-01,1996,122
1970-45264,U,U,No,8,NA,NA,NA,19.9,20.1,NA,NA,NA,NA,1996-05-01,1996,122
1970-45265,U,U,No,7,NA,NA,NA,19,19,NA,NA,NA,NA,1996-05-01,1996,122
1970-45266,U,U,No,8,NA,NA,NA,19.6,19.5,NA,NA,NA,NA,1996-05-01,1996,122
1970-45267,F,U,No,10.7,NA,NA,60.5,NA,18.2,NA,3.1,9.3,2.8,1996-05-01,1996,122
1970-45268,U,U,No,4.6,NA,NA,NA,13.5,13.4,NA,NA,NA,NA,1996-05-01,1996,122
1970-45269,U,U,No,5.2,NA,NA,NA,14.6,14.5,NA,NA,NA,NA,1996-05-01,1996,122
1970-45270,U,U,No,9.2,NA,NA,NA,18.1,18.1,NA,NA,NA,NA,1996-05-01,1996,122
1970-45271,U,U,No,8.4,NA,NA,NA,17.3,17.3,NA,NA,NA,NA,1996-05-01,1996,122
1970-45272,U,U,No,8.2,NA,NA,NA,17.2,17.1,NA,NA,NA,NA,1996-05-01,1996,122
1970-45273,U,U,No,8,NA,NA,NA,17.1,17,NA,NA,NA,NA,1996-05-01,1996,122
1970-45274,U,U,No,7.1,NA,NA,NA,14.6,14.1,NA,NA,NA,NA,1996-05-01,1996,122
1970-45275,M,U,No,9.2,NA,NA,60.5,NA,17.7,NA,2.9,9.3,2.7,1996-05-01,1996,122
1970-45276,F,U,No,9.8,NA,NA,64,NA,18.9,NA,2.8,9.4,3,1996-05-01,1996,122
1970-45277,M,U,No,9.6,NA,NA,65,NA,19.7,NA,3,9.7,2.9,1996-05-01,1996,122
1970-45278,U,U,No,7.6,NA,NA,NA,17.8,17.8,NA,NA,NA,NA,1996-05-01,1996,122
1970-45279,U,U,No,7.9,NA,NA,NA,18.2,18.6,NA,NA,NA,NA,1996-05-01,1996,122
1970-45280,U,U,No,8.5,NA,NA,NA,18.7,19.4,NA,NA,NA,NA,1996-05-01,1996,122
1970-45281,U,U,No,8.1,NA,NA,NA,17.7,18.5,NA,NA,NA,NA,1996-05-01,1996,122
1970-45282,U,U,No,6.34,NA,NA,NA,16.4,15.9,NA,NA,NA,NA,1996-05-01,1996,122
1970-45283,U,U,No,6.19,NA,NA,NA,16.27,15.63,NA,NA,NA,NA,1996-05-01,1996,122
1970-45284,U,U,No,6.61,NA,NA,NA,16.6,15.89,NA,NA,NA,NA,1996-05-01,1996,122
1970-45285,U,U,No,7.29,NA,NA,NA,16.32,16.57,NA,NA,NA,NA,1996-05-01,1996,122
1970-45286,U,U,No,7,NA,NA,NA,17.3,17.5,NA,NA,NA,NA,1996-05-01,1996,122
1970-45287,U,U,No,7,NA,NA,NA,18.8,19.1,NA,NA,NA,NA,1996-05-01,1996,122
1970-45288,U,U,No,8.4,NA,NA,NA,NA,18.2,NA,NA,NA,NA,1996-05-01,1996,122
1970-45289,U,U,No,7.5,NA,NA,NA,NA,16.5,NA,NA,NA,NA,1996-05-01,1996,122
1970-45290,U,U,No,8.3,NA,NA,NA,NA,16.4,NA,NA,NA,NA,1996-05-01,1996,122
1970-45291,U,U,No,8,NA,NA,NA,NA,16.9,NA,NA,NA,NA,1996-05-01,1996,122
1970-45292,U,U,No,7.9,NA,NA,NA,16.1,16,NA,NA,NA,NA,1996-05-01,1996,122
1970-45293,U,U,No,8.5,NA,NA,NA,17.4,17.4,NA,NA,NA,NA,1996-05-01,1996,122
1970-45294,U,U,No,9,NA,NA,NA,18.3,18.3,NA,NA,NA,NA,1996-05-01,1996,122
1970-45295,U,U,No,9.5,NA,NA,NA,18.1,18.2,NA,NA,NA,NA,1996-05-01,1996,122
1970-45297,U,U,No,8.5,NA,NA,NA,19.1,19.2,NA,NA,NA,NA,1996-05-01,1996,122
1970-45298,U,U,No,8,NA,NA,NA,18.9,19,NA,NA,NA,NA,1996-05-01,1996,122
1970-45299,U,U,No,8.5,NA,NA,NA,20,20,NA,NA,NA,NA,1996-05-01,1996,122
1970-45300,U,U,No,8,NA,NA,NA,18.9,18.9,NA,NA,NA,NA,1996-05-01,1996,122
1970-45324,M,U,No,10.1,NA,64.89,64.91,19.69,19.63,NA,NA,NA,NA,1996-05-10,1996,131
1970-45327,M,U,No,9.7,NA,NA,66,NA,18.3,NA,NA,NA,NA,1996-05-10,1996,131
1970-45410,M,U,No,9.8,NA,NA,60.5,NA,NA,NA,NA,NA,NA,1996-05-01,1996,122
1970-45413,M,U,No,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996-05-01,1996,122
1970-45415,M,U,No,10.5,NA,NA,63,NA,NA,NA,NA,NA,NA,1996-05-01,1996,122
1970-45416,M,U,No,9.5,NA,NA,63,NA,18.4,NA,4.6,8.8,3.4,1996-05-01,1996,122
1970-45422,M,U,No,10.7,NA,NA,65.5,NA,NA,NA,NA,NA,NA,1996-05-01,1996,122
1970-45423,M,U,No,9,NA,NA,63.5,NA,NA,NA,NA,NA,NA,1996-05-01,1996,122
1970-45425,M,U,No,NA,NA,NA,62.5,NA,NA,NA,NA,NA,NA,1996-05-01,1996,122
1970-45501,U,U,No,8.5,NA,NA,NA,19.7,19.9,NA,NA,NA,NA,1996-05-01,1996,122
1970-45502,U,U,No,8.5,NA,NA,NA,20,20,NA,NA,NA,NA,1996-05-01,1996,122
1970-45503,U,U,No,8.5,NA,NA,NA,20.8,20.5,NA,NA,NA,NA,1996-05-01,1996,122
1970-45508,U,U,No,8.5,NA,NA,NA,19.5,19.5,NA,NA,NA,NA,1996-05-01,1996,122
1970-45509,U,U,No,8,NA,NA,NA,18.3,18.3,NA,NA,NA,NA,1996-05-01,1996,122
1970-45510,U,U,No,8.6,NA,NA,NA,17.6,17.5,NA,NA,NA,NA,1996-05-01,1996,122
1970-45511,U,U,No,8.1,NA,NA,NA,17.3,17.1,NA,NA,NA,NA,1996-05-01,1996,122
1970-45512,U,U,No,7.6,NA,NA,NA,17.4,17.3,NA,NA,NA,NA,1996-05-01,1996,122
1920-25978,M,U,No,10.5,NA,64.04,62.99,19.65,19.92,NA,NA,NA,NA,1997-05-10,1997,130
1920-25983,M,U,No,10.1,NA,64.99,64.46,19.52,19.49,NA,3.01,10.02,3.08,1997-05-10,1997,130
1920-25985,M,U,No,10.1,NA,63,62.5,19.34,20.86,NA,2.98,9.72,2.88,1997-05-10,1997,130
1920-25987,M,U,No,9.7,NA,66.51,66.19,19.16,19.21,NA,NA,NA,NA,1997-05-10,1997,130
1920-25988,M,U,No,10,NA,62.7,62.3,19.94,20,NA,3.17,9.72,2.95,1997-05-10,1997,130
1920-25991,F,U,No,9.7,NA,60.01,59.7,18.89,18.89,NA,NA,NA,NA,1997-05-10,1997,130
1920-25997,F,U,No,10.5,NA,59,57.5,17.98,17.53,NA,3.32,9.16,3.02,1997-05-10,1997,130
1920-35785,M,U,No,9.8,NA,NA,63.5,NA,18.3,NA,3,9.3,2.8,1997-05-10,1997,130
1970-45189,F,U,No,10.8,NA,59.5,58.9,18.15,18.81,NA,3.7,10.24,3.1,1997-05-01,1997,121
1970-45190,F,U,No,10.5,NA,59,59,19.22,19.46,NA,3.49,9.33,3.04,1997-05-01,1997,121
1970-45191,F,U,No,11,NA,61,61,18.64,18.89,NA,3.21,9.56,2.79,1997-05-01,1997,121
1970-45193,M,U,No,9.8,NA,63.5,63.5,18.39,18.8,NA,2.71,9.27,2.75,1997-05-01,1997,121
1970-45195,M,U,No,9.3,47,61.5,NA,18.69,NA,NA,NA,NA,NA,1997-06-17,1997,168
1970-45196,M,U,No,10.6,52,63.5,NA,18.35,NA,NA,4.59,9.82,3.32,1997-06-17,1997,168
1970-45197,M,U,No,9.8,46.5,61.5,NA,18.46,NA,NA,4.03,10.04,3.11,1997-06-17,1997,168
1970-45198,M,U,No,9.4,NA,60.61,60.91,18.4,18.49,NA,2.93,9.68,2.82,1997-05-01,1997,121
1970-45199,M,U,No,10,NA,63.5,64.5,18.78,19.17,NA,3.49,9.98,2.86,1997-05-01,1997,121
1970-45260,M,U,No,10.1,NA,63.62,62.37,19.82,19.3,NA,NA,NA,NA,1997-05-10,1997,130
1970-45267,F,U,No,11.2,NA,59.5,60,16.6,18.01,NA,3.37,9.03,3.55,1997-05-10,1997,130
1970-45275,M,U,No,9.4,NA,62.68,61.5,18.65,18.61,NA,NA,NA,NA,1997-05-10,1997,130
1970-45327,M,U,No,NA,NA,63.27,64.2,17.74,18.47,NA,NA,NA,NA,1997-05-10,1997,130
1970-45328,M,U,No,10.2,NA,65.1,64.6,19.55,19.67,NA,NA,NA,NA,1997-05-10,1997,130
1970-45428,M,U,No,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-05-29,1997,149
1970-45429,M,U,No,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-05-29,1997,149
1970-45430,F,U,No,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-05-29,1997,149
1970-45431,M,U,No,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-05-29,1997,149
1970-45432,M,U,No,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-05-29,1997,149
1970-45433,M,U,No,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-05-29,1997,149
1970-45434,M,U,No,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-05-29,1997,149
1970-45435,F,U,No,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-05-29,1997,149
1970-45436,M,U,No,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-05-29,1997,149
1970-45437,M,U,No,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-05-29,1997,149
1970-45438,M,U,No,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-05-29,1997,149
1970-45439,M,U,No,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-05-29,1997,149
1970-45440,F,U,No,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-05-30,1997,150
1970-45441,M,U,No,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-14,1997,165
1970-45442,M,U,No,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-17,1997,168
1970-45443,M,U,No,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-17,1997,168
1970-45444,M,U,No,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-17,1997,168
1970-45445,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-17,1997,168
1970-45454,M,U,No,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-16,1997,167
1970-45455,M,U,No,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-17,1997,168
1970-45456,M,U,No,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-17,1997,168
1970-45457,M,U,No,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-17,1997,168
1970-45458,M,U,No,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-20,1997,171
1970-45459,M,U,No,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-20,1997,171
1970-45460,M,U,No,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-20,1997,171
1970-45461,M,U,No,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-20,1997,171
1970-45462,M,U,No,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-21,1997,172
1970-45463,M,U,No,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-21,1997,172
1970-45464,M,U,No,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-21,1997,172
1970-45469,F,U,No,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-25,1997,176
1970-45470,F,U,No,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-26,1997,177
1970-45483,F,U,No,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-27,1997,178
1970-45488,M,U,No,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-30,1997,181
1970-45500,F,U,No,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-30,1997,181
1970-45513,M,U,No,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-05-01,1997,121
1970-45514,M,U,No,14.5,NA,62.68,62.52,18.46,18.75,NA,3.19,10.23,2.8,1997-05-01,1997,121
1970-45515,M,U,No,14.7,NA,65.48,63.66,18.8,19.18,NA,3.05,9.36,2.65,1997-05-01,1997,121
1970-45516,M,U,No,13.5,NA,61.32,61.46,19.14,19.17,NA,2.85,9.68,2.66,1997-05-01,1997,121
1970-45517,M,U,No,10.2,NA,64.79,64.6,18.77,18.76,NA,3.11,10.51,2.98,1997-05-01,1997,121
1970-45518,M,U,No,11,NA,62.8,63.3,20.5,20,NA,3,9.2,2.9,1997-05-01,1997,121
1970-45519,M,U,No,9.2,NA,62.1,62.9,20.3,20,NA,3.03,9.81,3.16,1997-05-01,1997,121
1970-45520,M,U,No,9.7,NA,64.9,63.7,18.7,18.5,NA,2.86,9.29,2.93,1997-05-01,1997,121
1970-45521,M,U,No,9.5,NA,63.2,62.9,19.1,19.1,NA,3.14,9.99,3.02,1997-05-01,1997,121
1970-45522,M,U,No,9.4,NA,62.17,60.8,19.07,19.47,NA,2.81,9.55,2.87,1997-05-01,1997,121
1970-45523,M,U,No,9.4,NA,62.6,61.8,18.91,18.59,NA,3.3,10.05,2.85,1997-05-01,1997,121
1970-45525,M,U,No,9.8,NA,65.65,64.51,19.21,19.21,NA,3.06,9.65,3.13,1997-05-01,1997,121
1970-45526,M,U,No,9.8,NA,64.8,65.4,18.95,19.3,NA,3.19,9.57,2.9,1997-05-01,1997,121
1970-45527,M,U,No,8.6,NA,63.4,63,19.18,19.41,NA,3.15,9.7,2.73,1997-05-01,1997,121
1970-45528,M,U,No,8.6,NA,63,62.4,19,19.37,NA,3.1,9.64,2.94,1997-05-01,1997,121
1970-45529,M,U,No,9.5,NA,64,63.8,18.65,18.83,NA,3.03,9.66,3.04,1997-05-01,1997,121
1970-45540,F,U,No,12.5,NA,59.54,58.39,18.84,18.84,NA,2.94,9.57,2.97,1997-05-01,1997,121
1970-45541,M,U,No,10,NA,65.71,65.57,17.94,18.1,NA,2.94,9.57,2.97,1997-05-01,1997,121
1970-45542,F,U,No,10.8,NA,61.05,60.64,18.75,19.28,NA,3.09,9.95,3,1997-06-01,1997,152
1970-45543,M,U,No,10.1,NA,62.96,62.03,19.53,19.35,NA,2.82,9.41,2.76,1997-05-01,1997,121
1970-45556,M,U,No,9.6,NA,61.64,61,18.75,18.54,NA,2.76,9.79,2.8,1997-05-01,1997,121
1970-45557,M,U,No,9.3,NA,61.87,61.82,18.84,19.24,NA,2.72,9.61,2.66,1997-05-01,1997,121
1970-45558,M,U,No,9.5,NA,63.12,62.92,19.14,19.29,NA,2.99,9.99,2.89,1997-05-01,1997,121
1970-45559,M,U,No,10.6,NA,64.45,64.61,19.34,19.42,NA,3.09,10.35,2.97,1997-05-01,1997,121
1970-45560,F,U,No,10.6,NA,59.32,58.16,19.4,19.42,NA,3.12,9.98,3.02,1997-05-01,1997,121
1970-45561,M,U,No,9.9,NA,64.24,64.03,19.6,19.78,NA,3.13,10.16,3.17,1997-05-01,1997,121
1970-45562,F,U,No,10.9,NA,59.09,58.77,19.63,19.78,NA,3.17,10.8,2.93,1997-05-01,1997,121
1970-45563,M,U,No,10.6,NA,65.54,65.27,19.49,NA,NA,2.78,10.25,3.01,1997-05-01,1997,121
1970-45567,U,U,No,4.9,NA,NA,NA,14.66,14.32,NA,NA,NA,NA,1997-05-01,1997,121
1970-45568,U,U,No,6.7,NA,NA,NA,15.91,16.75,NA,NA,NA,NA,1997-05-01,1997,121
1970-45569,U,U,No,4,NA,NA,NA,12.36,12.58,NA,NA,NA,NA,1997-05-01,1997,121
1970-45570,M,U,No,9.5,NA,65.72,65.37,19.2,19.47,NA,3.03,10.21,2.98,1997-05-01,1997,121
1970-45571,U,U,No,8,NA,NA,NA,17.67,17.63,NA,NA,NA,NA,1997-05-01,1997,121
1970-45572,U,U,No,8.2,NA,NA,NA,18.31,18.63,NA,NA,NA,NA,1997-05-01,1997,121
1970-45573,U,U,No,8.2,NA,NA,NA,17.72,17.93,NA,NA,NA,NA,1997-05-01,1997,121
1970-45574,U,U,No,7.5,NA,NA,NA,16.73,16.96,NA,NA,NA,NA,1997-05-01,1997,121
1970-45575,U,U,No,9,NA,NA,NA,17.67,17.84,NA,NA,NA,NA,1997-05-01,1997,121
1970-45577,U,U,No,9.8,NA,NA,NA,18.14,18.58,NA,NA,NA,NA,1997-05-01,1997,121
1970-45578,U,U,No,9.5,NA,NA,NA,17.79,17.77,NA,NA,NA,NA,1997-05-01,1997,121
1970-45579,M,U,No,9.7,NA,60.98,60.45,20.02,20.12,NA,2.93,9.94,3.05,1997-05-01,1997,121
1970-45582,F,U,No,10.2,NA,59.2,59.66,19.46,19.95,NA,2.91,9.82,3.1,1997-05-01,1997,121
1970-45583,F,U,No,9.3,NA,61.18,60.21,18.77,18.83,NA,2.79,10.51,2.78,1997-05-01,1997,121
1970-45584,M,U,No,9.5,NA,65.96,63.87,19.12,19.49,NA,3.13,10.2,3.04,1997-05-01,1997,121
1970-45585,U,U,No,7.9,NA,NA,NA,16.43,16.72,NA,NA,NA,NA,1997-05-01,1997,121
1970-45586,U,U,No,7.3,NA,NA,NA,16.88,17.17,NA,NA,NA,NA,1997-05-01,1997,121
1970-45587,U,U,No,7.6,NA,NA,NA,15.92,16.19,NA,NA,NA,NA,1997-05-01,1997,121
1970-45588,U,U,No,6.8,NA,NA,NA,15.7,15.82,NA,NA,NA,NA,1997-05-01,1997,121
1970-45589,U,U,No,6,NA,NA,NA,15.7,15.89,NA,NA,NA,NA,1997-05-01,1997,121
1970-45590,U,U,No,6.4,NA,NA,NA,17.5,16.85,NA,NA,NA,NA,1997-05-01,1997,121
1970-45591,U,U,No,5.8,NA,NA,NA,15.06,15.17,NA,NA,NA,NA,1997-05-01,1997,121
1970-45592,U,U,No,6.1,NA,NA,NA,14.48,14.01,NA,NA,NA,NA,1997-05-01,1997,121
1970-45593,U,U,No,5.3,NA,NA,NA,13.79,13.97,NA,NA,NA,NA,1997-05-01,1997,121
1970-45594,M,U,No,9.1,NA,64.18,63.05,19.72,20.15,NA,3.05,9.92,2.8,1997-05-01,1997,121
1970-45595,F,U,No,9.7,NA,59.58,59.37,18.2,19.2,NA,2.79,9.58,2.99,1997-05-01,1997,121
1970-45596,U,U,No,7,NA,NA,NA,15.11,15,NA,NA,NA,NA,1997-05-01,1997,121
1970-45597,U,U,No,6.7,NA,NA,NA,15.44,15.69,NA,NA,NA,NA,1997-05-01,1997,121
1970-45598,M,U,No,10.7,NA,63.09,63,20.66,20.86,NA,3.09,9.64,3.01,1997-05-01,1997,121
1970-45599,F,U,No,10.8,NA,57.97,57.22,19.16,19.36,NA,3.15,10.39,2.98,1997-05-01,1997,121
1970-45600,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-05-21,1997,141
1970-45600,M,U,No,8.9,NA,63.61,64,19.07,19.32,NA,3.07,9.92,3.02,1997-05-01,1997,121
2070-93001,F,U,No,11,NA,62,60.5,18.32,17.8,NA,2.9,9.51,2.8,1997-05-01,1997,121
2070-93002,F,U,No,10.3,NA,62,62,18.32,18.23,NA,2.98,9.72,2.88,1997-06-25,1997,176
2070-93003,F,U,No,10.8,NA,64.5,63.5,18.86,18.71,NA,2.79,9.99,2.84,1997-05-01,1997,121
2070-93011,U,U,No,8.7,NA,NA,NA,16.62,16.7,NA,NA,NA,NA,1997-05-01,1997,121
2070-93012,U,U,No,9.1,NA,NA,NA,17.05,17.43,NA,NA,NA,NA,1997-05-01,1997,121
2070-93013,U,U,No,7.6,NA,NA,NA,15.24,15.51,NA,NA,NA,NA,1997-05-01,1997,121
2070-93016,U,U,No,7.5,NA,NA,NA,16.42,16.42,NA,NA,NA,NA,1997-05-01,1997,121
2070-93017,U,U,No,8.2,NA,NA,NA,17.08,17.82,NA,NA,NA,NA,1997-05-01,1997,121
2070-93018,U,U,No,8,NA,NA,NA,16.72,16.73,NA,NA,NA,NA,1997-05-01,1997,121
2070-93019,U,U,No,7.3,NA,NA,NA,16.43,16.59,NA,NA,NA,NA,1997-05-01,1997,121
2070-93020,U,U,No,8.5,NA,NA,NA,17.05,17.15,NA,NA,NA,NA,1997-05-01,1997,121
2070-93021,U,U,No,9.8,NA,NA,NA,17.6,17.93,NA,NA,NA,NA,1997-05-01,1997,121
2070-93022,U,U,No,8.7,NA,NA,NA,16.75,17.73,NA,NA,NA,NA,1997-05-01,1997,121
2070-93023,U,U,No,9.3,NA,NA,NA,17.06,16.98,NA,NA,NA,NA,1997-05-01,1997,121
2070-93024,F,U,No,10,NA,64,64,17.05,17.44,NA,3.24,9.22,3.92,1997-05-01,1997,121
2070-93028,U,U,No,8.1,NA,NA,NA,18.75,18.58,NA,NA,NA,NA,1997-05-01,1997,121
2070-93029,U,U,No,7.8,NA,NA,NA,18.08,17.55,NA,NA,NA,NA,1997-05-01,1997,121
2070-93030,U,U,No,8.1,NA,NA,NA,18.19,18.62,NA,NA,NA,NA,1997-05-01,1997,121
2070-93031,U,U,No,7.2,NA,NA,NA,18.38,18.61,NA,NA,NA,NA,1997-05-01,1997,121
2070-93032,F,U,No,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-08-06,1997,218
2070-93044,U,U,No,8.3,NA,NA,NA,17.67,17.77,NA,NA,NA,NA,1997-05-01,1997,121
